family_name,enzyme,methylation_sensitive
BfuCI,Sau3AI,1
BglI,BglI,1
BglII,BglII,0
BisI,BisI,1
BisI,Fnu4HI,1
BisI,Fsp4HI,1
BisI,GluI,1
BisI,SatI,1
BlpI,BlpI,0
BlpI,Bpu1102I,0
BlpI,Bsp1720I,NA
BlsI,BlsI,1
BlsI,PkrI,1
BmcAI,BmcAI,0
BmcAI,ScaI,0
BmcAI,ZrmI,0
Bme1390I,Bme1390I,1
Bme1390I,BmrFI,NA
Bme1390I,MspR9I,NA
Bme1390I,ScrFI,1
BmiI,BmiI,NA
BmiI,BspLI,1
BmiI,NlaIV,1
BmiI,PspN4I,1
BmrI,BmrI,0
BmrI,BmuI,0
BmsI,BmsI,1
BmsI,LweI,1
BmsI,SfaNI,1
BmtI,BmtI,0
BmtI,BspOI,0
BoxI,BoxI,1
BoxI,BstPAI,NA
BoxI,PshAI,1
BplI,BplI,0
BpmI,BpmI,0
BpmI,GsuI,0
Bpu10I,Bpu10I,0
BpuEI,BpuEI,0
Bsa29I,Bsa29I,1
Bsa29I,BseCI,1
Bsa29I,BshVI,NA
Bsa29I,BspDI,1
Bsa29I,Bsu15I,1
Bsa29I,BsuTUI,NA
Bsa29I,ClaI,1
BsaAI,BsaAI,1
BsaAI,BstBAI,1
BsaAI,Ppu21I,1
BsaBI,BsaBI,1
BsaBI,Bse8I,NA
BsaBI,BseJI,1
BsaI,BsaI,1
BsaI,Bso31I,NA
BsaI,BspTNI,NA
BsaI,Eco31I,1
BsaJI,BsaJI,0
BsaJI,BseDI,0
BsaJI,BssECI,NA
BsaWI,BsaWI,0
BsaXI,BsaXI,0
Bse118I,Bse118I,NA
Bse118I,BsrFI,1
Bse118I,BssAI,0
Bse118I,Cfr10I,1
Bse1I,Bse1I,0
Bse1I,BseNI,0
Bse1I,BsrI,0
Bse3DI,Bse3DI,NA
Bse3DI,BseMI,0
Bse3DI,BsrDI,0
BseGI,BseGI,0
BseGI,BstF5I,NA
BseGI,BtsCI,0
BseMII,BseMII,0
BsePI,BsePI,1
BsePI,BssHII,1
BsePI,PauI,1
BsePI,PteI,1
BseRI,BseRI,0
BseX3I,BseX3I,1
BseX3I,BstZI,NA
