family_name,enzyme,methylation_sensitive
BfuCI,Kzo9I,NA
BfuCI,MboI,0
BfuCI,NdeII,0
BfuCI,Sau3AI,1
BglI,BglI,1
BglII,BglII,1
BisI,BisI,1
BisI,Fnu4HI,1
BisI,Fsp4HI,1
BisI,GluI,1
BisI,SatI,1
BlpI,BlpI,NA
BlpI,Bpu1102I,NA
BlpI,Bsp1720I,1
BlsI,BlsI,1
BlsI,PkrI,1
BmcAI,BmcAI,NA
BmcAI,ScaI,0
BmcAI,ZrmI,NA
Bme1390I,Bme1390I,1
Bme1390I,BmrFI,NA
Bme1390I,MspR9I,1
Bme1390I,ScrFI,1
BmiI,BmiI,NA
BmiI,BspLI,1
BmiI,NlaIV,1
BmiI,PspN4I,1
BmrI,BmrI,1
BmrI,BmuI,NA
BmsI,BmsI,NA
BmsI,LweI,1
BmsI,SfaNI,1
BmtI,BmtI,1
BmtI,BspOI,NA
BoxI,BoxI,1
BoxI,BstPAI,NA
BoxI,PshAI,1
BplI,BplI,NA
BpmI,BpmI,1
BpmI,GsuI,1
Bpu10I,Bpu10I,1
BpuEI,BpuEI,1
Bsa29I,Bsa29I,NA
Bsa29I,BseCI,1
Bsa29I,BshVI,NA
Bsa29I,BspDI,1
Bsa29I,Bsu15I,1
Bsa29I,BsuTUI,NA
Bsa29I,ClaI,1
BsaAI,BsaAI,1
BsaAI,BstBAI,NA
BsaAI,Ppu21I,1
BsaBI,BsaBI,1
BsaBI,Bse8I,NA
BsaBI,BseJI,NA
BsaI,BsaI,1
BsaI,Bso31I,NA
BsaI,BspTNI,NA
BsaI,Eco31I,1
BsaJI,BsaJI,NA
BsaJI,BseDI,NA
BsaJI,BssECI,NA
BsaWI,BsaWI,NA
BsaXI,BsaXI,NA
Bse118I,Bse118I,NA
Bse118I,BsrFI,1
Bse118I,BssAI,NA
Bse118I,Cfr10I,1
Bse1I,Bse1I,NA
Bse1I,BseNI,NA
Bse1I,BsrI,NA
Bse3DI,Bse3DI,NA
Bse3DI,BseMI,NA
Bse3DI,BsrDI,NA
BseGI,BseGI,NA
BseGI,BstF5I,NA
BseGI,BtsCI,NA
BseMII,BseMII,NA
BsePI,BsePI,NA
BsePI,BssHII,1
BsePI,PauI,1
BsePI,PteI,NA
BseRI,BseRI,NA
BseX3I,BseX3I,NA
