AanI,0.3534
Acc36I,0.948
AccB7I,0.8947
AclWI,0.9497
AcsI,0.7149
AcuI,0.7939
AflII,0.6662
AflIII,0.804
AgeI,NA
AgsI,0.9103
AhdI,0.3531
AhlI,NA
AjnI,0.9708
AjuI,0.9657
AluBI,0.9778
Alw21I,0.8901
AlwNI,0.9068
Ama87I,0.9183
AseI,0.6676
Asp700I,NA
AspA2I,0.5848
AsuHPI,0.9856
AsuII,NA
AxyI,0.9431
BaeGI,0.8738
BalI,0.8622
BamHI,NA
BanII,0.9718
BauI,0.729
BbsI,0.7524
BbvI,0.9458
BccI,0.9575
BciT130I,0.9695
BciVI,0.3658
BclI,0.6432
BfaI,0.9459
BfmI,0.8726
BfuCI,0.9158
BglII,NA
BlpI,0.8037
BmcAI,0.7231
BmrI,0.9459
BmtI,0.6429
BplI,0.6112
BpmI,0.9639
Bpu10I,0.7272
BpuEI,0.9489
BsaJI,0.9719
BsaWI,0.7842
BsaXI,0.6442
Bse118I,0.8949
Bse1I,0.976
Bse3DI,0.4315
BseGI,0.9648
BseMII,0.957
BseRI,0.8832
BsgI,0.933
BshFI,0.9635
BsiSI,0.9465
BsmI,0.7489
Bsp1286I,0.9638
Bsp1407I,NA
Bsp19I,0.8656
BspCNI,0.9551
BspHI,NA
BspMAI,0.8322
BspQI,0.7596
BssT1I,0.9809
Bst6I,0.888
BstDEI,0.9659
BstDSI,0.9279
BstEII,0.5596
BstENI,0.8587
BstKTI,0.9158
BstNSI,0.6623
BstX2I,0.8221
BstXI,0.4748
BtsI,0.895
BtsIMutI,0.9785
CsiI,0.6972
Csp6I,0.9502
CspCI,0.4112
CviAII,0.8677
DraI,0.943
Eco147I,0.879
Eco32I,NA
EcoO109I,0.9772
EcoT22I,0.7059
FaeI,0.8589
FalI,0.3395
FatI,0.8691
FauNDI,0.7176
FokI,0.9328
HindIII,0.6172
Hpy188I,0.9405
HpyCH4V,0.9853
KpnI,0.6093
MaeIII,0.9401
MboII,0.9761
MfeI,NA
MluCI,0.8129
MlyI,0.963
MnlI,0.9789
MseI,0.9019
MslI,0.8965
MssI,NA
NmeAIII,0.9099
PacI,NA
PaeI,0.5381
PaeR7I,0.4436
PasI,0.8586
PciI,0.6475
PflFI,0.5884
PpuMI,0.8932
Psp124BI,0.839
PvuII,0.903
SbfI,NA
SmiI,NA
SmlI,0.9086
SspI,0.7079
TaqI,0.9124
TatI,0.8935
Tru9I,0.9019
TscAI,0.9756
Tsp45I,0.9287
TspDTI,0.7835
XbaI,0.6644
