Enzyme(s),Experimental_size_range,Theoretical_size_range,Score,%_max_Score,NF/1000,Cost_Reduction_Factor,Enrichment_Value,Robustness,C_Score|C_NF/1000,Number_of_sites
(BaeGI OR BseSI) AND (Tru9I),317_1057,160_900,469.0,32.37,5568.079,6.53,4.07453254570867,0.989335621412937,0.25|0.2,469
(BspQI OR LguI OR SapI) AND (MseI OR SaqAI OR Tru1I),297_1157,140_1000,504.0,34.78,5985.503,6.07,4.07467011636629,0.992730432113699,0.25|0.2,504
(BspQI OR LguI OR SapI) AND (Tru9I),297_1157,140_1000,504.0,34.78,5985.503,6.07,4.07467011636629,0.992730432113699,0.25|0.2,504
(Bsp19I OR NcoI) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),357_1117,200_960,377.0,26.02,4478.054,8.12,4.07474797614321,0.974527745728877,0.25|0.2,377
(AflIII) AND (FaeI OR Hin1II OR Hsp92II OR NlaIII),357_937,200_780,363.0,25.05,4312.542,8.43,4.07482671267523,0.972099303121022,0.25|0.2,363
(FatI) AND (KpnI),357_917,200_760,364.0,25.12,4326.06,8.4,4.07499115491407,0.975597462656479,0.25|0.2,364
(AanI OR PsiI) AND (BtsIMutI),277_857,120_700,412.0,28.43,4896.564,7.42,4.07499421924422,0.980663827904852,0.25|0.2,412
(BspHI OR CciI OR PagI) AND (CviAII),357_1117,200_960,377.0,26.02,4481.745,8.11,4.07510579243426,0.975482636792416,0.25|0.2,377
(CviAII) AND (PciI OR PscI),357_1117,200_960,377.0,26.02,4481.88,8.11,4.07511887414062,0.975491898121814,0.25|0.2,377
(FaeI OR Hin1II OR Hsp92II OR NlaIII) AND (PacI),357_1117,200_960,378.0,26.09,4493.818,8.09,4.07512367963968,0.974065887184673,0.25|0.2,378
(BmcAI OR ScaI OR ZrmI) AND (BtsIMutI),257_857,100_700,413.0,28.5,4910.081,7.4,4.07513860493966,0.983524150816584,0.25|0.2,413
(ApoI OR XapI) AND (MnlI),277_377,120_220,406.0,28.02,4827.301,7.53,4.07517834594658,0.982593602123646,0.25|0.2,406
(AccB7I OR PflMI OR Van91I) AND (BccI),277_1157,120_1000,363.0,25.05,4316.625,8.42,4.07523769660959,0.988517124218224,0.25|0.2,363
(BsgI) AND (HpyCH4V),357_1077,200_920,373.0,25.74,4435.635,8.19,4.07524696986867,0.992427894520757,0.25|0.2,373
(Bsp19I OR NcoI) AND (FatI),357_1117,200_960,377.0,26.02,4483.446,8.11,4.07527059314461,0.975492064998113,0.25|0.2,377
